"Madison Cawthorn"
"Kim Roney"
"Terry Wells"
"Laura Smith (Marshall NC Town Board)"
"Rodney Honeycutt"
"Robert Pressley"
"Jasmine Beach-Ferrara"
"Julie Mayfield"
"Todd Williams"
"Jay Carey"
"Sandra Kilgore"
"Andrew Fletcher"
"Sage Turner"
"Tristan Smith"
"Matty Garau"
"Carl Mumpower"
"Chuck Edwards"
"Michael Hayes"
"Esther Manheimer"
"Amy Holt"
"Raphael Morales"
"Brian Turner"
"Cliff Feingold"
"bruce oconnell"
"Governor Cooper"
"Martin Moore"
"Zeb smathers"
"Drew Reisinger"
"Al Whitesides"
"Tracey DeBruhl"
"Katie Dean"
"Jan Davis"
"John Ager"
"crystal figueroa"
"Moe Davis"
"Andrew Nagel"
"Gwen Wisler"
"Anybody but Madison Cawthorn"
"Chad Nesbitt"
"Alfred Whitesides"
"Buncombe Sheriff"
"Pam King, Black Mountain Town Council"
"Sheneika Smith"
"David Hurley"
"Parker Sloan"
"Amanda Edwards"
"Brownie Newman"
"Quentin Miller"
"James Emrick"
"Roy Cooper"
"Terri Wells"
"Terry Van Duyn"
"Jake Johnson"
"Leni Sitnik"
"Jeff Jackson"
"Susan Fisher"
"Michael O'Shea"
"Taylon Breeden"
"Dwayne Bolt"
"Ronnie Lunsford"
"Cecil Bothwell"
"Mike Sobol"
"Eric Ager"
"Allison Scott"
"Caleb Rudow"
"Maggie Ullman"
"Kris Roberts"
"Lindsey Prather"
"Mark Robinson"
"Preston Blakely"
"Bo Hess"
"Eva-Michelle Spicer"
"Teri Wells"
"Michael Sobol"
"Charles Taylor"
"Blunt Man Bob"
"Alice Walker"
"Antanette Mosley"
"William Briggs"
"Chelsea Walsh"
"Will Hornaday"
"Kim Plemmons"
"Jill Austin"
"Don Yelton"
"Governor Roy Cooper"
"Chris Walters"
"Barbara Volk"
"Gina Baxter"
"Tod Leaven"
"Kevan Frazier"
"Gene Johnson"
"Aaron Haynie"
"Mary Ellen"
"Jennifer Horton"
"Jim McAllister"
"Van Duncan"
"Kevin Fraiser"
"Ken Kahn"
"Josh blade"
"Archie Pertiller"
"Dylan Carter"
"Lars Lewis"
"Josh Stein"
