"Lily Gach"
"Carmen Grandfield (Carmen's Healing Art Center)"
"Lee Stanford"
"Lex Wagner"
"Zach Comer (Asheville Medical Massage)"
"Windy Donovan"
"Sara Boyle"
"Tracy McMahon"
"Christina Kyle"
"Caroline Hobson Zocher (Caroline Zocher)"
"Chinese Acupuncture and Herbology Clinic (Montford Avenue)"
"Ashley Walters"
"Joe Lewis (Physio)"
"Ashley Baleno"
"Tera Broughton"
"Danielle Hill"
"Lorrie Holderfield (Lorrie Zelakowski)"
"Heather Perry"
"Sarah Hasty"
"Kat Cortellucci (Structural Mobility Massage)"
"Katherine  @ Lavender Crow"
"Zach Brown (Brown Mountain Bodywork, zachary brown)"
"Leila Taylor (Trillium Therapies)"
"Massage by Megan - Waynesville"
"Amber Sankaran"
"Robert Kochka"
"Samala Hirst"
"Dustin Allen"
"Bubba Tillman"
"Ashley Enriquez"
"Kelly Gilmore"
"Micah Haines (Urban Exhale Massage)"
"Adam Devito (Sama Therapeutics)"
"Amber Desmond (Heartlight Healing Studio)"
"Bethany Malley (Riverview Massage)"
"Mary Kate Galloway"
"Chris Cintron (Sensibilities Day Spa)"
"Sommer Raines"
"Tessa Nayowith"
"Maggie Raposo"
"Lazlo Paule (Kindred Body)"
"Althea Wilkins (Adaptogenic Movement & Massage)"
"Anna Reality (Asheville Touch Therapy)"
"William Mathis"
"Theresa Onan (YAM Yoga and Massage, Hendersonville)"
"Monica Moore"
"Cea Rubin"
"Jess Standridge"
"Naema Pierce"
"Jane Rakes"
"Monti Marsters"
"Lindsey (Sauna House)"
"Paige Paris"
"Susan Brown"
"Tesa Anderson"
"Ethan Brady"
"Meredith Weaver"
"Cassie Butler"
"Adam Caddick"
"Stephen Opper"
"Hollie Devine"
"Sarah Dew - Dew Wellness"
"Mary Farrell"
"Karen Stinnett"
"Darren Cadwell"
"Lauren Price"
"Erin Brown"
"Katy Dalton"
"Malia Johnson"
"Rosemarie Burke"
"Kayla Watson (Kane)"
"Jennifer Bentley"
"William Ehrsam"
"Willow Card"
"Alyssa Hager (Hand and Stone Massage and Facial Spa)"
"Madeline Stoddart"
"Maria Delahoz"
"Ranpreet Kaur"
"Rose Ortiz"
"Dan Carter"
"Lacy Hoyle"
"Mary Quasarano"
"Davida Haas"
"Jenna Tosi (Healing Massage Therapy)"
"Crystal Edwards"
"Justin Cobb (Wild Rose Healing House)"
"Nikki Rosen"
"Heather Parmley"
"Randi Nelle"
"Willow Bittner - Blazing Lotus Healing House"
"Cassidy Walpole"
"Heather Taylor"
"Robin Fann-Costanzo (Robin Costanzo)"
"Micah Massey"
"Sheila burger"
"Amber (Brown Mountain Bodyworks)"
"Justin Hromada"
"Debra Beal"
"Priscilla Holbrook-Frazier"
"Martha Hanson"
"Philip Corbin"
"Marek Sawicki"
"Katie Watson (Massage On Wheels, Massage AVL)"
