"Gus Cutty"
"Doe Bull"
"Eric Abrecht"
"Hillary Frye"
"Jerry Cahill"
"Wyatt Grant"
"Aaron Fields"
"Alday Art Studio - Sarah Alday"
"All Caps Mural Co."
"Alli Good"
"Amar Stewart"
"Andy Herod"
"Anna Bryant"
"Ayla Macko"
"Bill George"
"Billy Smith"
"Bobby Deuce (Bobby Murals)"
"Catherine Kaleel"
"CJ Randall"
"Clare Beumer Hill"
"Coleman Dove"
"Corianna Klepac"
CWC
DadBod
"Dayna Walton"
"Dee Ballenger"
"Dustin Spagnola"
"Dustin Spangola"
"Ian the Painter (Ian Wilkinson)"
"J Burd"
"Jared Wheatley (Indigenous Walls Project)"
"Jeremy Russell"
"Jonathan Bidwell"
"Joseph Pearson"
"Josh Spiceland"
"Julia Ferris"
"Kathryn Crawford"
"Katie Woods"
"Kimi Leger"
"Lady Huns"
"Lara Nguyen"
"Leslie Reynalte"
"Lindsay McCardle"
"Megan Kelly"
"Melinda Irby"
"Molly Must"
"Molly Scanga"
"Randy Shull"
"Rhea Ormond"
"Scott Allred (Brushcan Murals and Sign)"
"Stacey Lucas"
"Steen Jones"
"Sydney Cain"
"Ted Harper"
"Tommy Lee"
"Tricia Tripp"
"Zander Stefani"
"Ainhoa Cebrero"
"alex webber"
"Alissa Minnick"
"Amanda Joy Bowers"
"Andy Herrod"
"Austen Mikulka"
"Anyone other than J*red Whe*tly. If I can cast my ballot only to downvote him, please do that"
"Ben Morgan"
"Bridgette Martin"
"Billy the artist"
"Braeden Wilson"
"Charlotte White"
"Caren Olmsted"
"Clare Hill"
"Colton Dion"
"Cheap Joe Art Stuff"
"Daniel McClendon"
"dave bill"
"Dayna Walton (Solstice Handmade)"
"Dillon Endico"
"Denise Wyatt"
"Eryn evergreen"
"Elizabeth Queen HVl  sidewalks"
Fowl
"Esau Garcia Alday"
"frank dunson"
"Gail McBride"
"Gavin Gerundo"
"good vibes"
"Guy curry"
"Hannah Bunzey"
"Heather Clements"
"Hannah Flowers"
"Hillary Fryen"
"Hunter speagle"
"Heidi pastor"
"Irene Pickens"
"Jacqueline Oliver"
"Jack Henry"
Ishmael
"Jake Martin"
"Jamie Dudenhoeffer"
"Jay Decker"
"Jason Gilmore"
"Jen Toledo"
"Kathryn Calloway"
"Kenny Clair"
"Whoever did the beehive at the museum downtown. Very good"
"Jessie McNally"
"Katherine Crawford"
"Seth Bishop"
"Kyle Mosher"
"Robin Wethe Altman"
"Rhea Wilson Burnsville"
"Scott Allred"
"Scotty Utz"
"Kreh Mellick"
"LUCHO / ISHMAEL"
tincan
"joel cole"
"Jonas Gerard"
"Jordan atkinson co"
"Julie armbruster"
"Kai Levine"
"Kenny Clair (@very.rotten) on IG"
"Mia Milner"
"Michael McDermott"
"Nate Kreckel"
"Oso Rey"
"Oscar Montes"
"Patti fertel"
"Red Dumonde"
"Rhia Ormond"
"Scott Nurkin"
"Shannon Owens"
"Stay weird ailo"
"Shirley Bavonese"
"Tikanne Herrera"
"The one who did Dolly Parton"
"Tommy Lee McGee"
Weetz
"Zen sutherland"
